ID,categories,image_categories,pieces,image_pieces
1,Vidange,,Filtre à Huile,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\filtre-a-huile.png
1,Vidange,,Filtre à Carburant,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\filtre-gasoil.png
1,Vidange,,Filtre à Air,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\filtre-a-air.png
1,Vidange,,Filtre Habitacle ,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\filtre-habitacle.png
2,Freinage,,Plaquette AV,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\plaquav.png
2,Freinage,,Disque AV,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\disque.png
2,Freinage,,Plaquette AR,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\plaquav.png
2,Freinage,,Disque AR,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\disque.png
2,Freinage,,Étrier,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\etrier.png
2,Freinage,,Étrier,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\etrier.png
2,Freinage,,Étrier,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\etrier.png
2,Freinage,,Étrier,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\etrier.png
2,Freinage,,Maitre-cylindre,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\maitre-cylindre.png
2,Freinage,,Servo-frein,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\servo-frein.png
2,Freinage,,Capteur ABS,
2,Freinage,,Kit réparation étrier,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\kit-de-reparation-etrier.png
2,Freinage,,Fléxible de frein ,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\flexible.png
2,Freinage,,Fléxible de frein ,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\flexible.png
2,Freinage,,Fléxible de frein ,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\flexible.png
2,Freinage,,Fléxible de frein ,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\flexible.png
2,Freinage,,Câbles de Frein,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\cable_frein.png
2,Freinage,,Câbles de Frein,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\cable_frein.png
3,Direction,,Triangle ,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\triangle.png
3,Direction,,Triangle ,C:\Users\Axel\Documents\SKG AUTOPARTS\react\BackEnd\public\image_pieces\triangle.png
