ID,SubCatégories,Type de Pièce,Référence OE,Réferences Fournisseur,Fournisseur,Prix
1,Filtres à Huile,Filtre à Huile,8200768913,LS571,PURFLUX,"8,12€"
2,Filtres à Air,Filtre à Air,165461599R,A1185,PURFLUX,"11,74€"
3,Filtres à Carburant,Filtre à Carburant,164031581R,C826,PURFLUX,"11,54€"
4,Filtre Habitacle,Filtre Habitacle,272770567R,AH405,PURFLUX,"12,54€"
5,Plaquette AV,Plaquette AV ,410604775R,0 986 424 795,BOSCH,"23,26€"
6,Disque AV,Disque AV,402066839R,0 986 479 A86,BOSCH,"34,11€/Pièces"
7,Plaquette AR,Plaquette AR ,440600295R,0 986 494 387,BOSCH,"22,28€"
8,Disque AR,Disque AR ,432002188R,0 986 479 761,BOSCH,"92,64€/Pièces"
9,Étrier,Étrier de Frein AVG,7701208332,BHW415,TRW,"118,85€"
10,Étrier,Étrier de Frein AVD,7701208333, BHW416,TRW,"66,60€"
11,Étrier,Étrier de Frein ARRG,440119651R,BHQ287,TRW,"96,87€"
12,Maitre-cylindre,Maitre-cylindre,7701047838,04-0744,METELLI,"16,17€"
13,Servo-frein,,472109861R,PSA281,TRW,"241,66€"
14,Capteur ABS,Capteur ABS Avant,479102979R,172100192010,MAGNETTI MARELLI,"28,47€"
15,Capteur ABS,Capteur ABS Arrière,479006998R,172100159010,MAGNETTI MARELLI,"32,54€"
16,Étrier,Étrier de frein ARRD,440018805R,BHQ288,TRW,"98,11€"
17,Kit réparation étrier,Kit réparation étrier AV,7701208338,SJ1284,TRW,"11,60€"
18,Kit réparation étrier,Kit réparation étrier AR,7701206346,SJ1246,TRW,"7,60€"
19,Fléxible de frein ,Fléxible de frein AVG,462108124R,8150 25168,TRISCAN,"18,80€"
20,Fléxible de frein ,Fléxible de frein AVD,462108124R,8150 25168,TRISCAN,"18,80€"
21,Fléxible de frein ,Fléxible de frein ARD,463167319R, 8150 25002,TRISCAN,"8,60€"
22,Fléxible de frein ,Fléxible de frein ARG,463167319R, 8150 25002,TRISCAN,"8,60€"
23,Roulement ,Roulement AV ,402104249R,R155.122,SNR,"36,60€"
24,Roulement ,Roulement AR,432102103R,R155.123,SNR,"39,51€"
25,Triangle ,Triangle de suspension AVG,545052354R,JTC1793,TRW,"50,00€"
26,Triangle ,Triangle de suspension AVD,545046162R,JTC1792,TRW,"59,00€"
27,Rotule,Rotule de suspension AVD,Non disponible,Non disponible,Non disponible,Non disponible
28,Rotule,Rotule de suspension AVG,Non disponible,Non disponible,Non disponible,Non disponible
29,Bielette de barre stabilisatrice,Bielette de barre stabilisatrice AVG,8201079463,JTS433,TRW,"19,60€"
30,Bielette de barre stabilisatrice,Bielette de barre stabilisatrice AVD,8201079463,JTS433,TRW,"19,60€"
31,Rotule Axial,Rotule Axial,"485211375R
",JAR683,TRW,"20,52€"
32,Rotule de direction,Rotule de direction AVG ,485200368R,JTE1021,TRW,"26,50€"
33,Rotule de direction,Rotule de direction AVD ,485208355R,JTE1022,TRW,"29,40€"
34,Amortisseur ,Amortisseur AVG,543028420R,G7277,MONROE,"55,40€"
35,Amortisseur ,Amortisseur AVD ,543021815R,G7277,MONROE,"55,40€"
36,Amortisseur ,Amortisseur ARG,562105799R,NON DISPO,,
37,Amortisseur ,Amortisseur ARD,562109164R,NON DISPO,,
38,Ressort,Ressort AVG,540109739R,4073003,"        
LESJOFOR","36,00€"
39,Ressort,Ressort AVD,540105619R,4073003,LESJOFOR,"36,00€"
40,Ressort,Ressort ARG,550202644R,4272964,LESJOFOR,"57,60€"
41,Ressort,Ressort ARD,8200218906,4272964,LESJOFOR,"57,60€"
42,Coupelle de suspension,Coupelle AVG,543A02310R,MK418,MONROE,"30,00€"
43,Coupelle de suspension,Coupelle AVD,543A02310R,MK418,MONROE,"30,00€"
44,Câbles de Frein,Câble de frein ARG,365307515R,8140 251214,TRISCAN,"30,95€"
45,Câbles de Frein,Câble de Frein ARD ,365302756R,8140 251237,TRISCAN,"23,72"
46,Bougie,Bougie,110654876R,94103,NGK,"22,22"
47,Kit Distribution,Kit Distribution,119A02421R,KDP455.580,SNR,"85,00€"
48,Pompe à eau ,Pompe à eau ,210107852R,DP200,DAYCO ,"50,00€"
49,Thermostat ,Thermostat ,110605536R,DT1075F,DAYCO ,"24,41€"
50,Pompe à Huile ,Pompe à Huile ,7701693576,7.07919.00.0,PIERBURG,"82,40€"
51,Jauge d'huile,Jauge d'huile,111400116R,8001080,METZGER,"32,54€"
52,Pompe à Carburant,Pompe à Carburant,172025354R,348760,VALEO ,"158,54€"
53,Injecteur ,Injecteur ,166006212R,A2C59507596,VDO,"365,45€"
